stop_id,stop_name,latitude,longitude,walk_time
8502950,"Birmensdorf ZH, Zentrum",47.3539359682156,8.43717477898752,"[(8573719, 419), (8573718, 427), (8573718, 427), (8583870, 432), (8583870, 432), (8583870, 432), (8583870, 432), (8502221, 467)]"
8502953,"Affoltern a.A., Kronenplatz",47.2812215495339,8.45441344929217,"[(8580268, 270), (8502574, 562), (8582723, 586)]"
8502955,"Oberlunkhofen, Post",47.3117750117374,8.38982458035498,"[(8573723, 73), (8572602, 227), (8573722, 279)]"
8502963,"Hausen am Albis, Heisch",47.2490528118645,8.5297641353346,[]
8502979,"Oberwil-Lieli, Lieli Dorf",47.3412881718265,8.39690330479483,"[(8572597, 262), (8572596, 378)]"
8502992,"Langnau am Albis, Unteralbis",47.2857676090264,8.52789563954337,"[(8503887, 451), (8503862, 542), (8590706, 542)]"
8503000,Zürich HB,47.3781762039461,8.54021154209037,"[(8503088, 130), (8503088, 137), (8587348, 148), (8587349, 161), (8503446, 170), (8591067, 269), (8591368, 327), (8591379, 366), (8588078, 382), (8591262, 396), (8503499, 410), (8591174, 437), (8596126, 467), (8503500, 588)]"
8503001,Zürich Altstetten,47.3914841248792,8.48896265512422,"[(8591056, 73), (8591057, 116), (8591097, 255), (8591070, 378), (8591361, 478), (8591167, 500), (8591372, 503), (8591896, 540), (8591258, 553), (8591413, 584)]"
8503003,Zürich Stadelhofen,47.3666111556789,8.54848502585826,"[(8503059, 48), (8576195, 177), (8576193, 312), (8591375, 362), (8505333, 364), (8576196, 472), (8591239, 514), (8530813, 558)]"
8503004,Zürich Tiefenbrunnen,47.3501261233109,8.56138483334001,"[(8576182, 53), (8505332, 80), (8576200, 468), (8591440, 521)]"
8503006,Zürich Oerlikon,47.411530894433,8.54413717988252,"[(8580449, 60), (8591062, 118), (8591382, 272), (8591063, 286), (8591272, 421), (8591273, 545), (8591314, 569)]"
8503007,Zürich Seebach,47.4187524287319,8.54465820274738,"[(8591127, 268), (8591355, 367), (8591187, 561), (8591191, 564)]"
8503008,Zürich Affoltern,47.42091018661,8.50858186093212,"[(8591054, 112), (8591153, 193), (8576262, 296), (8591090, 487), (8591407, 573)]"
8503009,Zürich Wollishofen,47.3474420259121,8.53359994159833,"[(8591080, 70), (8591081, 82), (8502495, 94), (8503681, 382), (8591304, 400), (8591241, 476), (8591216, 494), (8591082, 557), (8591279, 562), (8591077, 582)]"
8503010,Zürich Enge,47.3640982664424,8.53082414737001,"[(8591058, 68), (8591059, 69), (8507183, 301), (8591404, 314), (8591317, 394), (8591283, 455), (8591414, 509), (8591415, 578)]"
8503011,Zürich Wiedikon,47.3714783972162,8.52348491149773,"[(8573710, 64), (8591427, 325), (8591079, 405), (8591227, 410), (8591341, 422), (8591218, 438), (8506517, 508), (8591381, 584)]"
8503015,Zürich Wipkingen,47.3930409564212,8.52937785976238,"[(8591066, 55), (8591292, 382), (8591323, 394), (8591251, 449), (8591240, 459), (8591437, 529)]"
8503016,Zürich Flughafen,47.4503866318972,8.56239992961121,"[(8573205, 126), (8573205, 126), (8502075, 147), (8580301, 422)]"
8503020,Zürich Hardbrücke,47.385195516951,8.51712483928528,"[(8591060, 2), (8591177, 447), (8594239, 452), (8591391, 540)]"
8503051,Zürich Binz,47.362765717286,8.5182926491548,"[(8591824, 27), (8591308, 329), (8503091, 338), (8591269, 468), (8591245, 549), (8591366, 560)]"
8503052,Zürich Friesenberg,47.3647979933886,8.50750388259102,"[(8591149, 82), (8503053, 360), (8591151, 425), (8591351, 436), (8591083, 459), (8591195, 486), (8591084, 503)]"
8503053,Zürich Schweighof,47.3649440221893,8.50353332903466,"[(8591351, 79), (8503052, 360), (8591151, 409), (8591149, 414), (8591150, 521), (8580912, 550)]"
8503054,Zürich Triemli,47.3649926983664,8.49537662625372,"[(8591401, 189), (8503610, 421)]"
8503055,Uitikon Waldegg,47.3659236216092,8.46592086808334,"[(8575014, 90), (8574739, 350), (8502559, 387), (8503709, 479), (8574898, 530)]"
8503056,Ringlikon,47.3602952403085,8.47742828687451,[]
8503057,Uetliberg,47.352073682225,8.48755230012795,[]
8503059,"Zürich Stadelhofen, Bahnhof",47.3663495287263,8.54812569974456,"[(8503003, 48), (8576195, 132), (8576193, 290), (8505333, 320), (8591375, 404), (8576196, 448), (8591239, 553), (8530813, 574)]"
8503061,Langwies ZH,47.2960526930082,8.69438939432526,[]
8503062,Egg,47.3014990777941,8.68961035701308,"[(8590601, 24)]"
8503063,Hinteregg,47.3057327365344,8.68433724629457,"[(8590648, 30)]"
8503064,Scheuren,47.3225969975727,8.65955272760226,"[(8590785, 42)]"
8503065,Forch,47.3253371600043,8.64797344358835,"[(8590613, 154)]"
8503066,Zumikon,47.3316877011018,8.62380876244217,"[(8576226, 190)]"
8503067,Zollikerberg,47.3460481890667,8.60339903918413,"[(8506638, 110), (8591028, 112), (8591023, 501)]"
8503068,Maiacher,47.328168511864,8.63106714993886,"[(8590711, 66)]"
8503072,Neuhaus bei Hinteregg,47.3127799602696,8.67403356998428,"[(8590722, 23)]"
8503074,Neue Forch,47.3258121070389,8.63784044718207,[]
8503075,Waltikon,47.3367895002108,8.61701749889328,"[(8576225, 140)]"
8503077,Spital Zollikerberg,47.3473081217871,8.59679642184493,"[(8591023, 147), (8591903, 155), (8591024, 384), (8590879, 407), (8503078, 421), (8591028, 516)]"
8503078,Waldburg,47.3454699490061,8.5930234976511,"[(8590879, 27), (8576189, 355), (8503077, 421), (8591023, 465), (8591903, 472)]"
8503081,Felsenegg,47.3101426909703,8.5074140510626,[]
8503082,Adliswil (Luftseilbahnstation),47.3131697533444,8.52005334711192,"[(8590469, 213), (8503096, 400), (8590464, 428), (8590464, 428), (8590478, 467), (8590466, 480)]"
8503083,"Zürich, Römerhof",47.3680896277911,8.56027990554039,"[(8591119, 263), (8591199, 326), (8591231, 436), (8591198, 455), (8591202, 563), (8591394, 572)]"
8503084,"Zürich, Dolder",47.3732000763623,8.57452718594851,"[(8591421, 542)]"
8503086,Zürich Brunau,47.3516415737949,8.52623375626752,"[(8591392, 241), (176, 388), (8591098, 475), (8591216, 518), (8591082, 521)]"
