,stop_id,stop_name,latitude,longitude
0,176,Zimmerberg-Basistunnel,47.3516780901371,8.52195777551452
1,8500926,"Oetwil a.d.L., Schweizäcker",47.4236270123012,8.4031825286317
2,8502075,"Zürich Flughafen, Carterminal",47.4510244676285,8.56372943623189
3,8502186,Dietikon Stoffelbach,47.3933267759652,8.39896044679575
4,8502186,Dietikon Stoffelbach,47.3933997509195,8.39894248049007
5,8502187,Rudolfstetten Hofacker,47.3646702178563,8.37695172233176
6,8502187,Rudolfstetten Hofacker,47.3647371479356,8.37703257070734
7,8502188,Zufikon Hammergut,47.3559564133261,8.35459265490691
8,8502188,Zufikon Hammergut,47.3559016432438,8.35460163805976
9,8502188,Zufikon Hammergut,47.3559016432438,8.35460163805975
10,8502208,Horgen Oberdorf,47.2587475534877,8.58981651208635
11,8502209,Oberrieden Dorf,47.2767299516396,8.57765332313768
12,8502220,Urdorf,47.3908820565997,8.43473136141437
13,8502221,Birmensdorf ZH,47.3574290986674,8.4375520714069
14,8502222,Bonstetten-Wettswil,47.3259034425176,8.46819360575248
15,8502223,Hedingen,47.2987820476816,8.44596928562027
16,8502224,Affoltern am Albis,47.2760717207306,8.44659810631924
17,8502229,Urdorf Weihermatt,47.3809682263408,8.43033859967441
18,8502268,Zufikon Belvédère,47.3576725137737,8.35928186069067
19,8502270,Bergfrieden,47.397467944766,8.39896044679575
20,8502273,Bremgarten,47.3515198524717,8.34648985104303
21,8502273,Bremgarten,47.3514711638638,8.34656171626577
22,8502274,Zufikon,47.3525849045311,8.35468248643534
23,8502275,Widen Heinrüti,47.3619260114885,8.35487113264503
24,8502276,Berikon-Widen,47.3619260114885,8.36636956828336
25,8502276,Berikon-Widen,47.3621815755374,8.36679177646695
26,8502277,Rudolfstetten,47.369762745833,8.38153313028141
27,8502277,Rudolfstetten,47.3695011345125,8.38118278732055
28,8502278,Reppischhof,47.384003394493,8.39617566941459
29,8502278,Reppischhof,47.3847271863434,8.39622956833165
30,8502471,"Kloten, Waldeggweg",47.4411280309022,8.57578482734645
31,8502495,"Zürich Wollishofen, Bahnhof",47.3481237143728,8.53332146386021
32,8502508,"Spreitenbach, Raiacker",47.4163939893986,8.37617917118731
33,8502553,"Unterlunkhofen, Breitenäcker",47.3229988969571,8.37978141547713
34,8502559,"Waldegg, Birmensdorferstrasse",47.3683025730349,8.46346846735736
35,8502560,"Berikon, Kirche",47.3510512227562,8.37141810018081
36,8502570,"Rottenschwil, Hecht",47.3190589331876,8.372091836644
37,8502572,"Zürich, Goldbrunnenplatz",47.3702920484894,8.51391785372053
38,8502574,"Affoltern a.A., Stigeli",47.2784669105587,8.45910265507593
39,8502575,"Widen, Dorf",47.3675724714769,8.36359377405504
40,8502750,"Bellikon, Dorf",47.3895319390895,8.34336371385385
41,8502758,"Hausen am Albis, Post",47.2447475336943,8.53297112089936
42,8502758,Post,47.2447475336943,8.53297112089936
43,8502762,"Langnau a.A., Albispasshöhe",47.2761509526624,8.52069115096373
44,8502763,"Hausen am Albis, Riedmatt",47.2629785384073,8.51724162027223
45,8502764,"Hausen am Albis, Tüfenbach",47.2590158104091,8.5220386238901
46,8502771,"Aeugst am Albis, Dorf",47.2678309520619,8.48534244452871
47,8502776,"Gattikon, Obstgarten",47.2847255843239,8.5511170896411
48,8502779,"Ottenbach, Zentrum",47.2801672466905,8.40430542273701
49,8502876,"Aesch ZH, Gemeindehaus",47.3382079319594,8.43870191497073
50,8502879,"Jonen, Taverne",47.2961806346557,8.39551091610425
51,8502883,"Zwillikon, Gemeindeplatz",47.2874006824704,8.43218912915996
52,8502885,"Bonstetten, Dorfplatz",47.3150882242354,8.46778038072173
53,8502894,"Oberwil-Lieli, Dreispitz",47.3371730284335,8.3864199654277
54,8502950,"Birmensdorf ZH, Zentrum",47.3539359682156,8.43717477898752
55,8502953,"Affoltern a.A., Kronenplatz",47.2812215495339,8.45441344929217
56,8502955,"Oberlunkhofen, Post",47.3117750117374,8.38982458035498
57,8502963,"Hausen am Albis, Heisch",47.2490528118645,8.5297641353346
58,8502979,"Oberwil-Lieli, Lieli Dorf",47.3412881718265,8.39690330479483
59,8502992,"Langnau am Albis, Unteralbis",47.2857676090264,8.52789563954337
60,8503000,Zürich HB,47.3781762039461,8.54021154209037
61,8503001,Zürich Altstetten,47.3914841248792,8.48896265512422
62,8503003,Zürich Stadelhofen,47.3666111556789,8.54848502585826
63,8503004,Zürich Tiefenbrunnen,47.3501261233109,8.56138483334001
64,8503006,Zürich Oerlikon,47.411530894433,8.54413717988252
65,8503007,Zürich Seebach,47.4187524287319,8.54465820274738
66,8503008,Zürich Affoltern,47.42091018661,8.50858186093212
67,8503009,Zürich Wollishofen,47.3474420259121,8.53359994159833
68,8503010,Zürich Enge,47.3640982664424,8.53082414737001
69,8503011,Zürich Wiedikon,47.3714783972162,8.52348491149773
70,8503015,Zürich Wipkingen,47.3930409564212,8.52937785976238
71,8503016,Zürich Flughafen,47.4503866318972,8.56239992961121
72,8503020,Zürich Hardbrücke,47.385195516951,8.51712483928528
73,8503051,Zürich Binz,47.362765717286,8.5182926491548
74,8503052,Zürich Friesenberg,47.3647979933886,8.50750388259102
75,8503053,Zürich Schweighof,47.3649440221893,8.50353332903466
76,8503054,Zürich Triemli,47.3649926983664,8.49537662625372
77,8503055,Uitikon Waldegg,47.3659236216092,8.46592086808334
78,8503056,Ringlikon,47.3602952403085,8.47742828687451
79,8503057,Uetliberg,47.352073682225,8.48755230012795
80,8503059,"Zürich Stadelhofen, Bahnhof",47.3663495287263,8.54812569974456
