,dep_stop_id,weight,arr_stop_id
232,8506517,508,8503011
233,8573710,63,8503011
234,8591079,405,8503011
235,8591218,438,8503011
236,8591227,410,8503011
237,8591341,421,8503011
238,8591381,583,8503011
239,8591427,324,8503011
240,8591066,55,8503015
241,8591240,459,8503015
242,8591251,448,8503015
243,8591292,382,8503015
244,8591323,394,8503015
245,8591437,529,8503015
246,8502075,147,8503016
247,8573205,125,8503016
248,8573205,125,8503016
249,8580301,422,8503016
250,8591060,1,8503020
251,8591177,447,8503020
252,8591391,539,8503020
253,8594239,452,8503020
254,8503091,337,8503051
255,8591245,549,8503051
256,8591269,468,8503051
257,8591308,328,8503051
258,8591366,560,8503051
259,8591824,26,8503051
260,8503053,360,8503052
261,8591083,459,8503052
262,8591084,502,8503052
263,8591149,81,8503052
264,8591151,424,8503052
265,8591195,485,8503052
266,8591351,435,8503052
267,8503052,360,8503053
268,8580912,550,8503053
269,8591149,414,8503053
270,8591150,520,8503053
271,8591151,409,8503053
272,8591351,79,8503053
273,8503610,421,8503054
274,8591401,189,8503054
275,8502559,387,8503055
276,8503709,478,8503055
277,8574739,350,8503055
278,8574898,529,8503055
279,8575014,89,8503055
280,8503003,47,8503059
281,8505333,320,8503059
282,8530813,574,8503059
283,8576193,290,8503059
284,8576195,132,8503059
285,8576196,448,8503059
286,8591239,553,8503059
287,8591375,404,8503059
288,8590601,24,8503062
289,8590648,30,8503063
290,8590785,42,8503064
291,8590613,154,8503065
292,8576226,190,8503066
293,8506638,110,8503067
294,8591023,500,8503067
295,8591028,111,8503067
296,8590711,66,8503068
297,8590722,22,8503072
298,8576225,139,8503075
299,8503078,420,8503077
300,8590879,407,8503077
301,8591023,146,8503077
302,8591024,383,8503077
303,8591028,515,8503077
304,8591903,154,8503077
305,8503077,420,8503078
306,8576189,355,8503078
307,8590879,27,8503078
308,8591023,465,8503078
309,8591903,471,8503078
310,8503096,399,8503082
311,8590464,428,8503082
312,8590466,479,8503082
313,8590469,213,8503082
314,8590478,467,8503082
315,8590464,428,8503082
316,8591119,263,8503083
317,8591198,455,8503083
318,8591199,326,8503083
319,8591202,563,8503083
320,8591231,436,8503083
321,8591394,572,8503083
322,8591421,542,8503084
323,176,387,8503086
324,8591082,520,8503086
325,8591098,474,8503086
326,8591216,517,8503086
327,8591392,240,8503086
328,8591098,587,8503087
329,8591204,466,8503087
330,8591245,459,8503087
331,8591329,141,8503087
332,8591365,35,8503087
333,8591366,317,8503087
334,8591415,599,8503087
335,8503000,137,8503088
336,8503446,306,8503088
337,8503499,456,8503088
338,8587348,29,8503088
339,8587349,233,8503088
340,8588078,439,8503088
341,8591067,162,8503088
342,8591174,567,8503088
343,8591262,258,8503088
344,8591316,585,8503088
345,8591327,576,8503088
346,8591367,484,8503088
347,8591368,355,8503088
348,8591379,503,8503088
349,8596126,513,8503088
350,8591064,211,8503090
351,8591367,561,8503090
352,8591369,258,8503090
353,8591381,274,8503090
354,8591427,442,8503090
355,8503051,337,8503091
356,8507183,543,8503091
357,8591269,379,8503091
358,8591366,352,8503091
359,8591414,426,8503091
360,8591415,370,8503091
361,8591824,337,8503091
362,8591154,376,8503093
363,8591268,144,8503093
364,8591061,27,8503094
365,8591154,283,8503094
366,8591268,547,8503094
367,8591270,461,8503094
368,8590466,549,8503095
369,8590471,560,8503095
370,8590479,472,8503095
371,8503082,399,8503096
372,8590464,65,8503096
373,8590465,377,8503096
374,8590469,564,8503096
375,8590474,325,8503096
376,8590478,150,8503096
377,8590485,561,8503096
378,8595717,533,8503096
379,8590464,65,8503096
380,8573160,389,8503097
381,8573161,17,8503097
382,8573162,557,8503097
383,8590807,24,8503098
384,8590467,402,8503099
385,8590475,263,8503099
386,8590486,427,8503099
387,8503655,269,8503100
388,8576184,56,8503100
389,8576203,488,8503100
390,8576204,498,8503100
391,8503657,212,8503101
392,8576209,538,8503101
393,8576216,352,8503101
394,8576217,538,8503101
395,8576223,35,8503101
396,8590704,452,8503101
397,8590705,162,8503101
398,8503659,420,8503102
399,8587964,355,8503102
400,8587965,25,8503102
401,8587966,267,8503102
402,8587971,223,8503102
403,8587973,463,8503102
404,8587974,432,8503102
405,8587976,580,8503102
406,8503660,347,8503103
407,8587982,517,8503103
408,8587998,526,8503103
409,8588011,64,8503103
410,8588032,547,8503103
411,8590647,126,8503103
412,8595723,144,8503103
413,8503661,470,8503104
414,8505448,382,8503104
415,8530644,583,8503104
416,8576080,72,8503104
417,8588014,389,8503104
418,8588023,345,8503104
419,8588028,521,8503104
420,8587967,498,8503111
421,8587977,386,8503111
422,8573504,120,8503125
423,8576095,402,8503125
424,8580879,331,8503125
425,8581545,570,8503125
426,8581548,227,8503125
427,8587952,433,8503125
428,8588051,494,8503125
429,8588055,595,8503125
430,8590721,346,8503126
431,8576127,96,8503127
432,8576127,96,8503127
433,8587653,50,8503128
434,8590548,115,8503128
435,8590550,450,8503128
436,8590558,473,8503128
437,8590568,564,8503128
438,8590575,352,8503128
439,8590586,476,8503128
440,8590589,525,8503128
441,8590591,502,8503128
442,8587651,572,8503129
443,8587651,572,8503129
444,8587655,55,8503129
445,8590884,502,8503129
446,8590886,493,8503129
447,8590895,539,8503129
448,8590899,217,8503129
449,8594186,578,8503129
450,8594187,373,8503129
451,8594190,470,8503129
452,8576207,516,8503141
453,8576208,580,8503141
454,8590566,381,8503147
455,8591065,8,8503147
456,8591065,8,8503147
457,8591271,509,8503147
458,8596113,458,8503147
459,8576129,557,8503150
460,8576140,404,8503150
461,8587858,294,8503150
462,8503156,488,8503151
463,8576129,505,8503151
464,8576130,569,8503151
465,8576132,574,8503151
466,8588097,469,8503151
467,8589128,389,8503151
468,8587859,423,8503152
469,8588052,425,8503152
470,8588053,269,8503152
471,8588054,378,8503152
472,8591857,402,8503152
473,8576139,452,8503154
474,8588096,503,8503154
475,8576128,481,8503155
476,8503151,488,8503156
477,8588097,425,8503156
478,8589106,556,8503156
479,8589128,104,8503156
480,8590851,187,8503156
481,8588095,415,8503157
482,8588098,392,8503157
483,8503677,423,8503200
484,8590673,8,8503200
485,8590674,390,8503200
486,8590675,508,8503200
487,8590680,264,8503200
488,8590684,578,8503200
489,8590685,482,8503200
490,8590686,456,8503200
491,8590689,357,8503200
492,8590690,445,8503200
493,8503677,423,8503200
494,8590673,8,8503200
495,8590674,390,8503200
496,8590675,508,8503200
497,8590680,264,8503200
498,8590684,578,8503200
499,8590685,482,8503200
500,8590686,456,8503200
501,8590689,357,8503200
502,8590690,445,8503200
503,8503675,457,8503201
504,8590771,199,8503201
505,8590772,590,8503201
506,8590773,492,8503201
507,8590776,393,8503201
508,8590784,276,8503201
509,8503674,312,8503202
510,8573167,144,8503202
511,8573168,33,8503202
512,8590811,466,8503202
513,8590813,276,8503202
514,8590822,441,8503202
515,8590824,221,8503202
516,8502209,399,8503203
517,8503673,344,8503203
518,8579186,71,8503203
519,8590734,394,8503203
520,8590735,349,8503203
521,8590819,598,8503203
522,8503672,131,8503204
523,8503855,113,8503204
524,8503855,113,8503204
525,8573552,152,8503204
526,8577912,324,8503204
527,8580724,416,8503204
528,8589111,446,8503204
529,8590651,265,8503204
530,8590660,130,8503204
531,8594182,573,8503204
532,8503785,463,8503254
533,8576097,515,8503254
534,8581538,555,8503254
535,8587010,336,8503254
536,8575926,556,8503303
537,8575927,43,8503303
538,8575918,101,8503305
539,8575918,101,8503305
540,8575919,250,8503305
541,8588314,37,8503306
542,8590539,273,8503306
543,8590541,528,8503306
544,8595073,590,8503306
545,8595075,557,8503306
546,8595080,566,8503306
547,8595081,386,8503306
548,8503700,20,8503307
549,8588316,528,8503307
550,8576152,564,8503308
551,8580434,593,8503308
552,8587420,48,8503308
553,8590693,91,8503308
554,8590697,407,8503308
555,8590698,508,8503308
556,8590699,430,8503308
557,8502471,484,8503309
558,8573213,332,8503309
559,8573213,332,8503309
560,8573214,349,8503309
561,8587799,211,8503309
562,8503340,291,8503310
563,8590620,57,8503310
564,8590621,389,8503310
565,8590622,520,8503310
566,8590629,208,8503310
567,8590742,302,8503310
568,8573241,19,8503311
569,8590766,359,8503311
570,8590767,596,8503311
571,8595709,449,8503311
572,8595712,442,8503311
573,8573237,33,8503312
574,8573237,33,8503312
575,8573263,446,8503313
576,8582720,403,8503313
577,8583769,438,8503313
578,8573263,446,8503313
579,8582720,403,8503313
580,8583769,438,8503313
581,8573264,449,8503314
582,8590723,17,8503314
583,8573276,565,8503315
584,8573277,82,8503315
585,8576283,540,8503315
586,8594552,445,8503315
587,8573274,499,8503316
588,8573275,129,8503316
589,8503310,291,8503340
590,8590620,235,8503340
591,8590621,472,8503340
592,8590622,243,8503340
593,8590625,429,8503340
594,8590626,584,8503340
595,8590629,99,8503340
596,8590631,579,8503340
597,8590742,48,8503340
598,8576133,537,8503350
599,8575921,237,8503370
600,8575922,255,8503371
601,8575923,231,8503371
602,8575920,312,8503372
603,8575921,457,8503372
604,8575939,570,8503377
605,8590710,105,8503377
606,8575937,587,8503378
607,8575938,456,8503378
608,8588279,382,8503378
609,8595538,538,8503378
610,8503000,169,8503446
611,8503088,306,8503446
612,8503499,401,8503446
613,8503500,525,8503446
614,8587348,314,8503446
615,8587349,198,8503446
616,8588078,363,8503446
617,8591067,422,8503446
618,8591174,278,8503446
619,8591262,564,8503446
620,8591368,376,8503446
621,8591373,541,8503446
622,8591379,198,8503446
623,8596126,471,8503446
624,8503088,298,8503446
625,8530822,272,8503447
626,8576193,597,8503447
627,8591093,431,8503447
628,8591183,175,8503447
629,8591287,541,8503447
